epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1864,0.70049,0.38879,0.83208,0.84901,0.6615,0.7629,0.56793,0.81818,0.48037,0.88561,0.0095149,0.0095149,0.0095149
149,1876.37,0.70831,0.3921,0.83337,0.85878,0.65063,0.75391,0.55703,0.81826,0.48799,0.88703,0.0095116,0.0095116,0.0095116
150,1888.66,0.69569,0.3876,0.83165,0.85914,0.64297,0.7515,0.56295,0.82041,0.49269,0.89168,0.0095083,0.0095083,0.0095083
151,1900.92,0.682,0.3881,0.83001,0.85001,0.65525,0.76374,0.57346,0.78438,0.4659,0.87982,0.009505,0.009505,0.009505
152,1913.26,0.68477,0.37771,0.82685,0.8219,0.65526,0.74372,0.55352,0.82359,0.48817,0.88479,0.0095017,0.0095017,0.0095017
153,1925.59,0.67815,0.37936,0.82766,0.86816,0.64873,0.76772,0.57803,0.79192,0.46563,0.8769,0.0094984,0.0094984,0.0094984
154,1937.84,0.66605,0.38822,0.82746,0.86569,0.65829,0.7614,0.56889,0.80909,0.47256,0.88415,0.0094951,0.0094951,0.0094951
155,1950.07,0.69007,0.37694,0.82666,0.85783,0.66613,0.76741,0.57299,0.80669,0.46664,0.87985,0.0094918,0.0094918,0.0094918
156,1962.25,0.68472,0.37526,0.8268,0.84846,0.66863,0.76179,0.57438,0.7849,0.45954,0.88054,0.0094885,0.0094885,0.0094885
157,1974.39,0.66956,0.36874,0.82602,0.84345,0.66999,0.76427,0.57447,0.79237,0.46668,0.88008,0.0094852,0.0094852,0.0094852
158,1986.53,0.6652,0.37602,0.82723,0.85562,0.66025,0.75895,0.56809,0.80928,0.47914,0.88393,0.0094819,0.0094819,0.0094819
159,1998.7,0.67816,0.37463,0.82798,0.84616,0.65753,0.75852,0.57097,0.80519,0.46892,0.88463,0.0094786,0.0094786,0.0094786
160,2010.88,0.6731,0.37374,0.82605,0.8626,0.63975,0.75409,0.56415,0.81301,0.48674,0.88273,0.0094753,0.0094753,0.0094753
161,2023.07,0.67746,0.37653,0.82741,0.86297,0.65812,0.75548,0.57419,0.77064,0.45745,0.8781,0.009472,0.009472,0.009472
162,2035.23,0.66126,0.36301,0.82553,0.87586,0.6321,0.74763,0.56001,0.80089,0.47568,0.88102,0.0094687,0.0094687,0.0094687
163,2047.34,0.64604,0.36441,0.82205,0.84744,0.66601,0.76435,0.58079,0.7669,0.46249,0.8751,0.0094654,0.0094654,0.0094654
164,2059.52,0.63786,0.36359,0.82063,0.86983,0.65713,0.76209,0.57875,0.76022,0.45622,0.87728,0.0094621,0.0094621,0.0094621
165,2071.59,0.64678,0.36348,0.8247,0.84957,0.66489,0.76331,0.58516,0.76283,0.45571,0.87803,0.0094588,0.0094588,0.0094588
166,2083.75,0.6539,0.36666,0.82413,0.85091,0.6558,0.75541,0.57491,0.76222,0.45021,0.87766,0.0094555,0.0094555,0.0094555
167,2095.91,0.65778,0.36489,0.82121,0.85069,0.6517,0.76159,0.57373,0.77773,0.46983,0.87644,0.0094522,0.0094522,0.0094522
168,2108.03,0.64441,0.36102,0.82216,0.86834,0.6615,0.75554,0.56586,0.77977,0.46706,0.87756,0.0094489,0.0094489,0.0094489
169,2120.28,0.63437,0.36239,0.82348,0.89021,0.64719,0.76368,0.5856,0.76028,0.46839,0.87705,0.0094456,0.0094456,0.0094456
170,2132.51,0.64182,0.37175,0.81985,0.86404,0.65633,0.76277,0.57999,0.7562,0.46172,0.87225,0.0094423,0.0094423,0.0094423
171,2144.66,0.64598,0.3721,0.82118,0.86191,0.6561,0.76045,0.5823,0.75425,0.45921,0.87254,0.009439,0.009439,0.009439
172,2156.71,0.63359,0.35863,0.82233,0.88032,0.64814,0.76211,0.57983,0.76133,0.45454,0.87785,0.0094357,0.0094357,0.0094357
173,2168.85,0.65423,0.36032,0.81927,0.87447,0.64778,0.76289,0.58191,0.75924,0.46483,0.87784,0.0094324,0.0094324,0.0094324
174,2181.07,0.64428,0.37,0.8261,0.86012,0.65508,0.76196,0.5796,0.77026,0.45627,0.87903,0.0094291,0.0094291,0.0094291
175,2193.23,0.62251,0.35512,0.81878,0.85273,0.66364,0.75984,0.57613,0.76499,0.46295,0.87825,0.0094258,0.0094258,0.0094258
